图片路径,图片种类编号,图片种类名称,top-1-预测编号,top-1-预测名称,top-2-预测编号,top-2-预测名称,top-3-预测编号,top-3-预测名称,top-4-预测编号,top-4-预测名称,top-5-预测编号,top-5-预测名称,种类是否存在于预测top_5中(1/0),墨鱼-预测置信度,寄居蟹-预测置信度,射水鱼-预测置信度,小丑鱼-预测置信度,水母-预测置信度,河豚-预测置信度,海星-预测置信度,海洋生物大白鲨-预测置信度,海洋生物海马-预测置信度,海洋生物鲸鲨-预测置信度,海葵-预测置信度,海豹-预测置信度,海龟-预测置信度,狮子鱼-预测置信度,珊瑚-预测置信度,石头鱼-预测置信度,石斑鱼-预测置信度,章鱼-预测置信度,红尾鲶鱼-预测置信度,蓝吊鱼-预测置信度,蓝鲸-预测置信度,虎鲸-预测置信度,虾-预测置信度,螃蟹-预测置信度,螺类-预测置信度,金鱼-预测置信度,鲈鱼-预测置信度,鲟鱼-预测置信度,鲳鱼-预测置信度,鳄鱼-预测置信度,鳗鱼-预测置信度,黄尾副刺尾鱼-预测置信度,龙虾-预测置信度
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\0.jpg,0,墨鱼,0,墨鱼,22,虾,10,海葵,14,珊瑚,8,海洋生物海马,True,0.9999995,3.7625363e-12,5.2703334e-15,9.6393325e-18,4.718457e-09,1.7526279e-12,1.2322292e-09,2.902997e-08,3.0434755e-08,3.532672e-14,1.7689476e-07,1.4352735e-13,2.997319e-12,5.6453336e-14,3.6983664e-08,1.5229885e-08,2.0699698e-09,1.0732636e-09,3.5505492e-12,1.4458671e-11,1.7144568e-15,3.0962135e-15,2.4244014e-07,1.1698481e-10,5.964644e-09,1.4772483e-17,1.6246109e-09,1.210081e-10,1.2080126e-10,2.4856625e-11,1.584675e-09,1.4747977e-11,1.6332924e-12
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\1.jpg,0,墨鱼,0,墨鱼,16,石斑鱼,26,鲈鱼,15,石头鱼,27,鲟鱼,True,0.9999318,3.744676e-09,2.1376664e-11,4.056446e-15,1.6502812e-09,1.2506168e-08,2.4576966e-06,1.6379582e-06,3.3981937e-08,1.2832972e-10,2.9593078e-08,3.6826881e-07,2.5819738e-10,3.555583e-11,3.21862e-09,1.6191387e-05,2.1092006e-05,1.0832547e-07,5.133331e-10,4.7099043e-08,2.238998e-12,4.1841e-12,6.205404e-08,2.3063593e-09,8.953594e-08,2.241314e-12,1.67197e-05,7.721242e-06,1.2770989e-08,5.130951e-07,1.0761987e-06,1.7422924e-10,1.7440254e-09
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\10.jpg,0,墨鱼,0,墨鱼,22,虾,4,水母,24,螺类,11,海豹,True,1.0,1.4771588e-17,1.6553258e-15,1.904495e-18,1.0360346e-11,2.033944e-14,4.229549e-14,1.5386602e-15,1.6602433e-18,1.1727595e-14,3.30619e-16,8.059064e-12,1.7858056e-20,4.231348e-14,1.8623695e-14,1.5448171e-16,3.6462746e-13,2.0414513e-23,2.0057836e-20,9.788311e-15,4.4840286e-24,3.2943081e-22,1.1635471e-09,1.2963387e-16,8.477216e-12,8.960402e-20,1.5579239e-18,7.0226354e-15,1.513619e-18,2.4353346e-21,6.226038e-13,5.584809e-16,4.9860738e-20
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\11.jpg,0,墨鱼,0,墨鱼,22,虾,28,鲳鱼,26,鲈鱼,16,石斑鱼,True,0.9999975,3.2685292e-09,3.6677895e-14,5.0243506e-17,1.091213e-10,1.10449073e-10,9.449629e-10,1.4521041e-08,4.9765475e-10,2.5552678e-12,9.047624e-12,2.8718706e-11,3.1856943e-14,8.5131575e-14,4.2582257e-10,1.0931153e-09,1.5283076e-08,2.84718e-11,2.0811837e-14,4.4024223e-10,5.2698377e-16,6.8866505e-17,2.2673923e-06,2.8203084e-10,2.5589297e-09,1.843625e-15,6.115861e-08,3.858106e-09,1.0834416e-07,9.4705195e-11,8.49357e-09,4.621601e-13,9.916334e-11
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\12.jpg,0,墨鱼,0,墨鱼,22,虾,15,石头鱼,24,螺类,8,海洋生物海马,True,1.0,8.0146507e-13,4.1541387e-18,1.0777636e-19,1.3451461e-12,1.4543366e-15,1.0965626e-11,3.1268682e-11,1.0932594e-10,9.15204e-17,4.1362943e-14,1.5400065e-13,1.2217538e-14,1.92436e-17,9.621324e-13,3.4657008e-10,2.5257947e-11,1.5156538e-13,5.4303295e-18,5.1138418e-14,2.3212454e-19,4.701618e-19,8.905691e-09,3.5849924e-11,2.0029454e-10,2.6685108e-17,1.2134439e-11,1.04517e-12,1.63949e-14,3.1430645e-16,2.9633898e-16,7.1577513e-17,1.4259524e-14
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\13.jpg,0,墨鱼,0,墨鱼,22,虾,10,海葵,14,珊瑚,8,海洋生物海马,True,0.9999995,3.7625363e-12,5.2703334e-15,9.6393325e-18,4.718457e-09,1.7526279e-12,1.2322292e-09,2.902997e-08,3.0434755e-08,3.532672e-14,1.7689476e-07,1.4352735e-13,2.997319e-12,5.6453336e-14,3.6983664e-08,1.5229885e-08,2.0699698e-09,1.0732636e-09,3.5505492e-12,1.4458671e-11,1.7144568e-15,3.0962135e-15,2.4244014e-07,1.1698481e-10,5.964644e-09,1.4772483e-17,1.6246109e-09,1.210081e-10,1.2080126e-10,2.4856625e-11,1.584675e-09,1.4747977e-11,1.6332924e-12
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\14.jpg,0,墨鱼,0,墨鱼,32,龙虾,7,海洋生物大白鲨,27,鲟鱼,8,海洋生物海马,True,0.99988234,1.7502014e-08,9.235781e-13,1.2959614e-12,8.574582e-08,3.24037e-13,1.1655514e-07,2.781444e-05,1.026568e-05,7.0895323e-10,5.903599e-09,4.907742e-10,5.5479434e-11,1.8220566e-09,7.309526e-11,5.171832e-08,3.1401044e-06,1.3391167e-07,1.5479417e-12,4.5143196e-07,3.5832514e-11,9.043779e-10,1.1648053e-06,4.872116e-09,1.7440833e-06,5.999985e-10,4.492031e-07,1.1991066e-05,2.1801405e-07,3.3218503e-06,9.013871e-09,8.979662e-11,5.6583987e-05
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\15.jpg,0,墨鱼,0,墨鱼,26,鲈鱼,11,海豹,1,寄居蟹,29,鳄鱼,True,0.9994343,1.0961312e-06,1.7071072e-11,1.4855975e-12,4.3547284e-12,4.213446e-11,1.5579536e-08,2.4927327e-09,1.206852e-08,6.932638e-14,7.92478e-15,5.1035026e-06,1.8768019e-14,2.2398314e-12,4.0232134e-15,5.7612493e-08,2.1957071e-10,3.3956876e-11,9.275701e-12,2.3350377e-09,2.847573e-12,3.8105756e-12,4.1224455e-09,1.0212762e-13,1.6779666e-11,2.013465e-10,0.0005583332,8.010729e-09,2.0395648e-08,1.0575646e-06,2.7277602e-09,3.0324862e-12,1.0993534e-10
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\16.jpg,0,墨鱼,0,墨鱼,29,鳄鱼,26,鲈鱼,10,海葵,27,鲟鱼,True,0.93574065,1.52795e-06,1.17329705e-07,1.3846692e-11,4.61509e-05,9.534199e-08,2.8883053e-07,0.000103195365,5.679641e-07,2.4155051e-09,0.0015126807,8.7796354e-07,3.7103626e-07,1.4190053e-06,7.3233336e-06,2.5726265e-05,0.00024140789,1.9559398e-07,2.0591517e-05,2.908829e-06,7.3825976e-07,1.9358285e-06,1.9597603e-05,4.3594643e-09,1.2694233e-07,8.8135437e-07,0.008358103,0.0005985964,7.2153637e-07,0.053312294,7.9674635e-07,1.4925371e-07,9.68646e-09
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\17.jpg,0,墨鱼,0,墨鱼,29,鳄鱼,26,鲈鱼,21,虎鲸,27,鲟鱼,True,0.98641056,2.8648472e-07,3.3787664e-08,1.7379298e-12,3.071931e-06,8.758267e-09,1.1137166e-08,1.8608977e-06,3.20775e-08,3.303955e-08,7.6234976e-08,5.33873e-07,1.8604014e-09,1.9616979e-10,3.1287934e-06,7.533819e-06,4.968422e-06,2.5864318e-07,5.376079e-05,7.950286e-07,3.2256526e-08,8.8249406e-05,1.800709e-09,5.257639e-11,4.5404374e-09,2.3690346e-08,0.003764649,5.9107435e-05,1.0237158e-06,0.009595109,7.370202e-07,4.2392726e-06,1.6148841e-09
